stratification,level,n_actions,share_pct,mean_delta_vaep,mean_delta_off,mean_delta_def,ci_lo,ci_hi,concede_auc_model_B,concede_ap_model_B,concede_auc_model_C,concede_ap_model_C
type,cross,614,1.1998749316032205,-0.0008093825586705851,-0.0008918804761612196,8.249791749063375e-05,-0.006523828757258183,0.004484307458961392,0.6356209150326798,0.25223713646532436,0.6658496732026145,0.07389162561576354
type,dribble,20835,40.71562573282264,-0.0002642860238120691,-0.00035180246015291107,8.751643634084191e-05,-0.0007095451407295383,0.00012909121948350365,0.8068646309208944,0.05104106561449161,0.7856341668670355,0.02708255293282085
type,foul,605,1.1822871883061048,0.008520730044250215,-0.00012883670249720625,0.008649566746747422,0.0038087530755585865,0.013574584387175933,0.9463087248322148,0.5195344796709319,0.9133109619686801,0.41753668197081106
type,freekick_crossed,181,0.35370905964199173,-0.00845977434548145,-0.0041743050077467075,-0.004285469337734742,-0.02221816943180051,0.0022591206205191485,,,,
type,freekick_short,150,0.2931290549519268,-0.0016039680051041544,-0.0010451173197393016,-0.0005588506853648531,-0.002779041501008549,-0.0005694601891469304,,,,
type,goalkick,140,0.2735871179551317,-0.001901400956296388,-0.0013572294869379957,-0.0005441714693583923,-0.0033948749458409316,-0.00036552155745446426,0.5724637681159421,0.024603608529250955,0.6231884057971014,0.031018518518518518
type,interception,611,1.194012350504182,0.0004852276777371213,2.8150550065082177e-05,0.0004570771276720388,-0.0007952257183658017,0.0018271891500019305,0.8960396039603961,0.04533681473190786,0.7541254125412542,0.2677189298301305
type,keeper_claim,202,0.39474712733526146,-0.013528890232950307,-0.013570844832071263,4.195459912095783e-05,-0.03155205409351993,-0.0008842259170912198,0.9751243781094527,0.16666666666666666,0.3731343283582089,0.007874015748031496
type,keeper_save,178,0.3478464785429532,0.0015694369044852831,-0.0001383229156738166,0.0017077598201590983,-0.00957506630129882,0.014024813059987574,0.8571428571428571,0.08923829489867224,0.8057142857142857,0.053990127519539285
type,pass,22071,43.131009145626514,-0.0025871478839718538,-0.00259537501432438,8.227130352525665e-06,-0.003184802258402186,-0.002025931847205812,0.843401720361169,0.03691331715349355,0.8268971167031753,0.04251057156569618
type,shot,822,1.606347221136559,0.0010066977266448614,0.00039133929758533245,0.0006153584290595288,-0.004545336823528686,0.006880298937702401,0.8514448514448514,0.5027322404371585,0.9352869352869353,0.50625
type,tackle,1035,2.0225904791682954,-0.0035594287785609964,-0.001375483640468683,-0.0021839451380923133,-0.007898868462787466,-4.878249694753462e-05,0.858254585881045,0.06469185824806975,0.7968315730961645,0.2796521856262491
type,take_on,770,1.5047291487532244,0.0002010937519589013,-0.0005622259465303334,0.000763319698489234,-0.003833219887692151,0.0036828144829082737,0.701171875,0.009014423076923076,0.7486979166666666,0.033930965147453085
type,throw_in,681,1.330805909481748,-0.00886849867430283,-0.008387963095189627,-0.000480535579113205,-0.01771823369612982,-0.002181913655256635,0.44256259204712817,0.004772256728778468,0.5092047128129602,0.008179847134315937
zone,final_third,11316,22.11365590557336,-0.001963144788995285,-0.0020268222115646427,6.367742256935756e-05,-0.0026066689869450065,-0.0013620184522425227,0.8203667164715254,0.011650691385675201,0.7869592832265219,0.025357829787245385
zone,middle_third,20516,40.09223794262487,-0.0015618037144964206,-0.0016773299341553546,0.00011552621965893405,-0.001957031792778596,-0.0011945045983659459,0.8101760141898822,0.03631556000876882,0.7626685477410611,0.007520796069843942
zone,own_third,15717,30.714062377862895,-0.0012807583208120112,-0.0012687697939748794,-1.1988526837131605e-05,-0.0021515288378630196,-0.0006189812668554905,0.8688080958921611,0.16612639997436374,0.8743127315849998,0.18750299602600498
zone,penalty_area,3623,7.080043773938873,-0.0005808009166477229,-0.0004102053474199856,-0.00017059556922773683,-0.002551448612774475,0.0011691681583037802,0.8350232704588167,0.36406406033604805,0.8236733870570987,0.26527321078417415
lane,central,13212,25.818807160165715,-0.0016762011700842798,-0.0016489774357364292,-2.7223734347850598e-05,-0.0026383280309848203,-0.0008089373135464886,0.8921874567066581,0.3351323467837058,0.8777335416031697,0.2702477223686682
