bin,n,mean_predicted,observed_frequency,model_id,paper_name,head
2,3455,0.0006815127710697407,0.0005788712011577424,model_B,P-VAEP,concede
3,3408,0.0007016095095826888,0.0005868544600938967,model_B,P-VAEP,concede
4,3403,0.0007312237295258992,0.0002938583602703497,model_B,P-VAEP,concede
5,3423,0.0007688342152204785,0.0008764241893076249,model_B,P-VAEP,concede
6,3411,0.0008254353407830949,0.0,model_B,P-VAEP,concede
7,3412,0.0009029589386832441,0.0008792497069167644,model_B,P-VAEP,concede
8,3411,0.001021149037278183,0.0020521841102316037,model_B,P-VAEP,concede
9,3411,0.0011943725642340772,0.001759014951627089,model_B,P-VAEP,concede
10,3412,0.001423834331856029,0.0029308323563892145,model_B,P-VAEP,concede
11,3411,0.00175660262155733,0.003518029903254178,model_B,P-VAEP,concede
12,3412,0.0022470156319532816,0.004396248534583822,model_B,P-VAEP,concede
13,3411,0.0033443474837344515,0.004983875696276752,model_B,P-VAEP,concede
14,3412,0.024836640063509698,0.028429073856975382,model_B,P-VAEP,concede
0,3412,0.0019937795581841536,0.0023446658851113715,model_ES,ES-VAEP,score
1,3410,0.0023252964851849622,0.0017595307917888563,model_ES,ES-VAEP,score
2,3413,0.0027631554823731867,0.0023439789041898623,model_ES,ES-VAEP,score
3,3411,0.0032247641536157718,0.004690706537672237,model_ES,ES-VAEP,score
4,3411,0.0036760559034511985,0.0032248607446496626,model_ES,ES-VAEP,score
5,3412,0.003987525354343161,0.005861664712778429,model_ES,ES-VAEP,score
6,3411,0.004334403573668988,0.007036059806508356,model_ES,ES-VAEP,score
7,3412,0.004777439019806156,0.008206330597889801,model_ES,ES-VAEP,score
8,3411,0.00536881097699789,0.007622398123717385,model_ES,ES-VAEP,score
9,3411,0.00627054492684897,0.00908824391673996,model_ES,ES-VAEP,score
10,3412,0.007787837176348421,0.009671746776084409,model_ES,ES-VAEP,score
11,3411,0.010336523893301176,0.008208736440926415,model_ES,ES-VAEP,score
12,3412,0.014188667851593515,0.021981242672919107,model_ES,ES-VAEP,score
13,3411,0.021714558993085848,0.0316622691292876,model_ES,ES-VAEP,score
14,3412,0.09418972253386551,0.11576787807737397,model_ES,ES-VAEP,score
0,2947,0.0006899613225867053,0.0006786562606040041,model_ES,ES-VAEP,concede
1,3802,0.0007008452598112201,0.0002630194634402946,model_ES,ES-VAEP,concede
2,3474,0.0007143454691172376,0.0002878526194588371,model_ES,ES-VAEP,concede
3,3423,0.0007346657192610736,0.0008764241893076249,model_ES,ES-VAEP,concede
4,3411,0.0007661976801986814,0.0008795074758135445,model_ES,ES-VAEP,concede
5,3408,0.0008140926748655706,0.0008802816901408451,model_ES,ES-VAEP,concede
6,3415,0.0008710900099647781,0.001171303074670571,model_ES,ES-VAEP,concede
7,3412,0.0009662720646448238,0.0011723329425556857,model_ES,ES-VAEP,concede
8,3411,0.0010974545984818941,0.0008795074758135445,model_ES,ES-VAEP,concede
9,3411,0.0012792594197712965,0.0008795074758135445,model_ES,ES-VAEP,concede
10,3412,0.0015241885748801388,0.0023446658851113715,model_ES,ES-VAEP,concede
11,3411,0.001841515397134595,0.002638522427440633,model_ES,ES-VAEP,concede
12,3412,0.0023093272593451074,0.007033997655334115,model_ES,ES-VAEP,concede
13,3411,0.0033298878183181196,0.006156552330694811,model_ES,ES-VAEP,concede
14,3412,0.027942729724354638,0.025205158264947247,model_ES,ES-VAEP,concede
0,3412,0.001740995425941136,0.0023446658851113715,model_C,PS-VAEP,score
1,3400,0.0020743940112374613,0.0026470588235294116,model_C,PS-VAEP,score
2,3423,0.0024979239753288008,0.001460706982179375,model_C,PS-VAEP,score
3,3411,0.002962171903563236,0.004983875696276752,model_C,PS-VAEP,score
4,3411,0.003404209711016088,0.002638522427440633,model_C,PS-VAEP,score
5,3412,0.00372476293724837,0.005275498241500586,model_C,PS-VAEP,score
6,3411,0.004113649978562109,0.0067428906479038405,model_C,PS-VAEP,score
7,3412,0.004591168866257302,0.008206330597889801,model_C,PS-VAEP,score
8,3411,0.0052260081881722025,0.008208736440926415,model_C,PS-VAEP,score
9,3411,0.006252296998184071,0.00908824391673996,model_C,PS-VAEP,score
10,3412,0.007848631682036828,0.00996483001172333,model_C,PS-VAEP,score
11,3411,0.010362386545311082,0.010847258868367049,model_C,PS-VAEP,score
12,3412,0.014375689844152538,0.021101992966002344,model_C,PS-VAEP,score
13,3411,0.022025857849010264,0.0316622691292876,model_C,PS-VAEP,score
14,3412,0.09550146113721611,0.11430246189917936,model_C,PS-VAEP,score
0,3341,0.0007617800723216938,0.0,model_C,PS-VAEP,concede
1,3480,0.0007727879145627179,0.0,model_C,PS-VAEP,concede
2,3281,0.0007873919287116498,0.0009143553794574825,model_C,PS-VAEP,concede
3,3497,0.0008046897443708972,0.001143837575064341,model_C,PS-VAEP,concede
4,3458,0.0008291451519335021,0.0002891844997108155,model_C,PS-VAEP,concede
5,3412,0.0008584340995956822,0.0005861664712778429,model_C,PS-VAEP,concede
6,3411,0.0008987216652729581,0.0008795074758135445,model_C,PS-VAEP,concede
7,3412,0.0009692783112724245,0.0014654161781946073,model_C,PS-VAEP,concede
8,3411,0.00111009352371319,0.0011726766344180592,model_C,PS-VAEP,concede
9,3411,0.0012985576875324321,0.0008795074758135445,model_C,PS-VAEP,concede
10,3412,0.0015452003538950537,0.002637749120750293,model_C,PS-VAEP,concede
11,3411,0.0018793044068856962,0.002931691586045148,model_C,PS-VAEP,concede
12,3412,0.002395521358839287,0.00615474794841735,model_C,PS-VAEP,concede
13,3411,0.0034297931734776272,0.006156552330694811,model_C,PS-VAEP,concede
14,3412,0.02562950567995444,0.02608440797186401,model_C,PS-VAEP,concede
