strategy,comparison,metric,point_diff,ci_lo,ci_hi,excludes_zero,n_boot
women_only,PS-VAEP - P-VAEP,score_ece,0.00019511894167739598,-0.0006556635111848823,0.0007395261332922524,False,1000
women_only,PS-VAEP - P-VAEP,score_ace,0.00019543098931687833,-0.0005392837308023405,0.000663485398794858,False,1000
women_only,PS-VAEP - P-VAEP,concede_auc,-0.025300367808750446,-0.057253739801614065,0.009788857650939906,False,1000
women_only,PS-VAEP - P-VAEP,concede_ap,0.011278513254442735,-0.006811920212663484,0.03152873241789538,False,1000
women_only,PS-VAEP - P-VAEP,concede_brier,-3.850963877304872e-05,-7.947738384864522e-05,-2.2493748157162835e-06,True,1000
women_only,PS-VAEP - P-VAEP,concede_logloss,0.00023820894834892734,-0.00019693194016865326,0.0006649962441325898,False,1000
women_only,PS-VAEP - P-VAEP,concede_ece,-8.751803520358242e-05,-0.0002609107711709725,0.00013705975200245586,False,1000
women_only,PS-VAEP - P-VAEP,concede_ace,7.13614513768088e-05,-0.00016716928398780156,0.00022959186474197425,False,1000
women_only,PS-VAEP - E-VAEP,score_auc,-0.008037803079165906,-0.01867109081168016,0.0019311550922099336,False,1000
women_only,PS-VAEP - E-VAEP,score_ap,0.0034319455112001296,-0.008199935660122726,0.013813369083829321,False,1000
women_only,PS-VAEP - E-VAEP,score_brier,2.2631792829000755e-05,-6.44520869803624e-05,0.0001114902342833156,False,1000
women_only,PS-VAEP - E-VAEP,score_logloss,0.0004294142067447354,-0.00039266027220787416,0.0012665541114161433,False,1000
women_only,PS-VAEP - E-VAEP,score_ece,0.0005460749119065742,-0.00018962672559293866,0.0009720345569570684,False,1000
women_only,PS-VAEP - E-VAEP,score_ace,9.066316526392662e-05,-0.0005732968971706436,0.0005312038838056403,False,1000
women_only,PS-VAEP - E-VAEP,concede_auc,-0.009280377837351583,-0.034504068869365405,0.018686555153829453,False,1000
women_only,PS-VAEP - E-VAEP,concede_ap,-0.0010927037850437804,-0.02855855463327739,0.028586449110327254,False,1000
women_only,PS-VAEP - E-VAEP,concede_brier,-1.6902727488234646e-05,-6.122229623282689e-05,2.9533739731684165e-05,False,1000
women_only,PS-VAEP - E-VAEP,concede_logloss,0.0005596556243261316,1.4850708060344637e-05,0.0011322628695617405,True,1000
women_only,PS-VAEP - E-VAEP,concede_ece,0.00040744626113724974,0.00018410662397637978,0.0005875583643789235,True,1000
women_only,PS-VAEP - E-VAEP,concede_ace,0.00022972150225698948,-0.00011807291290881697,0.0004804181597312363,False,1000
fine_tuned,P-VAEP - E-VAEP,score_auc,0.005833757798212824,0.0011403507552342456,0.011577926388443432,True,1000
fine_tuned,P-VAEP - E-VAEP,score_ap,-0.003324926852920629,-0.012211321599760228,0.005450706314776769,False,1000
fine_tuned,P-VAEP - E-VAEP,score_brier,3.350648231781328e-05,-2.474290035359094e-05,9.336168645082125e-05,False,1000
fine_tuned,P-VAEP - E-VAEP,score_logloss,-0.00012919551781599703,-0.0006794369995768185,0.0003418882536771209,False,1000
fine_tuned,P-VAEP - E-VAEP,score_ece,-0.0003820756962398947,-0.0005979238901755301,3.596314242811618e-05,False,1000
fine_tuned,P-VAEP - E-VAEP,score_ace,-0.00023712662052491514,-0.0005871628741172038,0.00029486705290888553,False,1000
fine_tuned,P-VAEP - E-VAEP,concede_auc,-0.0008371360780325965,-0.021549750933231315,0.01727595366339475,False,1000
fine_tuned,P-VAEP - E-VAEP,concede_ap,0.0024782647491734533,-0.01160141164156093,0.023018675378643588,False,1000
fine_tuned,P-VAEP - E-VAEP,concede_brier,-3.277174922590442e-05,-8.273169133021731e-05,1.729536157336965e-05,False,1000
fine_tuned,P-VAEP - E-VAEP,concede_logloss,-0.00010588660820611343,-0.0005720938467531528,0.0003967349944730656,False,1000
fine_tuned,P-VAEP - E-VAEP,concede_ece,0.00013749338305882883,-5.1246526370254794e-05,0.0003067958254335145,False,1000
fine_tuned,P-VAEP - E-VAEP,concede_ace,3.633396062354354e-05,-0.0002741846183653617,0.00037494617115159894,False,1000
fine_tuned,PS-VAEP - P-VAEP,score_auc,-0.009428650218698209,-0.01639264541936616,-0.003316794423962964,True,1000
fine_tuned,PS-VAEP - P-VAEP,score_ap,0.0007130811151209171,-0.009234939048709045,0.011350724659026923,False,1000
fine_tuned,PS-VAEP - P-VAEP,score_brier,-6.345231623773075e-05,-0.00012868338148422077,4.116452735636996e-06,False,1000
fine_tuned,PS-VAEP - P-VAEP,score_logloss,0.00020890464795270125,-0.0003514286749834325,0.0007370085540381893,False,1000
fine_tuned,PS-VAEP - P-VAEP,score_ece,0.0005185380865122225,1.020850991374006e-05,0.000882429993870651,True,1000
fine_tuned,PS-VAEP - P-VAEP,score_ace,3.7657688013000706e-05,-0.0004707712330395912,0.0004594682995674948,False,1000
fine_tuned,PS-VAEP - P-VAEP,concede_auc,0.006740228416797556,-0.017724340582064103,0.02924628064968078,False,1000
fine_tuned,PS-VAEP - P-VAEP,concede_ap,0.007759242709645953,-0.03304081510105175,0.04403988998789472,False,1000
fine_tuned,PS-VAEP - P-VAEP,concede_brier,-2.378317139480491e-05,-0.0001086414494994536,5.376901434499128e-05,False,1000
