source,frac,n_train_matches,n_train_rows,n_eval_rows,n_features,seed,learner,score_auc,score_ap,score_logloss,concede_auc,concede_ap,concede_logloss
women,0.5,48,67964,51172,271,45,lightgbm,0.7774411713553476,0.2576572257249983,0.06675933770703825,0.8110847977051872,0.1700421047778111,0.01874591245455877
women,0.75,71,98545,51172,271,42,lightgbm,0.8027840763869063,0.27481219695674153,0.06466332935109154,0.8232434961160179,0.1583806639197183,0.019257328307447072
women,0.75,71,98578,51172,271,43,lightgbm,0.8001512395407538,0.2744535584780576,0.06518393333630841,0.796508422064043,0.15353268560740893,0.018996329350121202
women,0.75,71,100535,51172,271,44,lightgbm,0.7997979948242631,0.2659573704822802,0.06540780203595141,0.7845850316125039,0.12791258036459316,0.0197191377276378
women,0.75,71,101746,51172,271,45,lightgbm,0.7936491911103138,0.27111198278399334,0.06573329584883061,0.782165785662462,0.13983823530417105,0.01916397581286899
women,1.0,95,134571,51172,271,42,lightgbm,0.811155702711483,0.27727058158244317,0.06467026269119364,0.828463635115791,0.14252880050828645,0.0188381552547804
women,1.0,95,133568,51172,271,43,lightgbm,0.8156955991894513,0.2763224602242542,0.06398267560108208,0.8121877757515147,0.12058078175409227,0.01929049612620626
women,1.0,95,135039,51172,271,44,lightgbm,0.8074313986363891,0.276257446942473,0.06481134040859357,0.8127982878544675,0.16759413088935027,0.018509657860303785
women,1.0,95,134810,51172,271,45,lightgbm,0.8073249086929556,0.28135969283936596,0.06415723483196768,0.8332617885085677,0.1593995643123911,0.01869026105245877
pooled,0.1,30,43533,51172,271,42,lightgbm,0.7719341998615217,0.21315998762434982,0.07318898265710953,0.6638143420201188,0.010706422585008944,0.022273992390075808
pooled,0.1,30,45970,51172,271,43,lightgbm,0.7673814813234845,0.24301725552681389,0.06742807447162434,0.695374069623143,0.118619387564322,0.019667461220885977
pooled,0.1,30,45453,51172,271,44,lightgbm,0.7848172467524639,0.23159373999491828,0.0681041967471534,0.7948799229086305,0.18647689033578319,0.01866970497880778
pooled,0.1,30,45825,51172,271,45,lightgbm,0.7775970657292829,0.25160298802161774,0.06719238990341085,0.7431322850924003,0.1222488303683107,0.019528221997050954
pooled,0.25,74,112749,51172,271,42,lightgbm,0.803876297139757,0.2740594411067576,0.06518609602855657,0.808436238546245,0.16935686860337987,0.018678053653964004
pooled,0.25,74,115935,51172,271,43,lightgbm,0.7972418837271287,0.2724234717219332,0.06565793460053036,0.805407320878819,0.17273675086617143,0.01864455057698016
pooled,0.25,74,113373,51172,271,44,lightgbm,0.8095955679182092,0.2564275799632829,0.06464350189673905,0.8131964625370119,0.06667819767673762,0.019706939024304378
pooled,0.25,74,109846,51172,271,45,lightgbm,0.7929863088351772,0.26598866065766735,0.06595209882063308,0.7774958751074993,0.15074603924980223,0.019071202604659464
pooled,0.5,148,227806,51172,271,42,lightgbm,0.8096811293427435,0.2742992201121076,0.06425743156660996,0.8456486796142071,0.1795114233345514,0.01814933321872128
pooled,0.5,148,228776,51172,271,43,lightgbm,0.815630613829084,0.2802743024001165,0.0637385871400833,0.8360109698329594,0.15135267517153292,0.018736304720264243
pooled,0.5,148,228676,51172,271,44,lightgbm,0.8137171857048736,0.2854680458433955,0.0635626612253108,0.8458943523288485,0.19130442942277973,0.018364859871766556
pooled,0.5,148,228207,51172,271,45,lightgbm,0.8164156763600227,0.2704788731017908,0.06432953201031548,0.81868866235829,0.1359465354292538,0.019374538428171672
pooled,0.75,221,343788,51172,271,42,lightgbm,0.8175462660641879,0.2967115678725681,0.06288109200820395,0.8555438835337654,0.16457406054921891,0.018703536155592698
pooled,0.75,221,340919,51172,271,43,lightgbm,0.8217030199415242,0.2802950962569627,0.06354830130978475,0.8506783312183629,0.15848563945343838,0.018273813159871567
pooled,0.75,221,341407,51172,271,44,lightgbm,0.8200289207337816,0.29140855482054023,0.06300070310551384,0.851027091229456,0.19388827248529733,0.017835116929767365
pooled,0.75,221,341381,51172,271,45,lightgbm,0.8178491219076502,0.28808302333065444,0.06334211223937636,0.8533287392255566,0.1733326271464652,0.017931085141374883
