experiment,n_train_matches,n_train_rows,n_eval_rows,n_features,seed,learner,score_auc,score_ap,score_logloss,concede_auc,concede_ap,concede_logloss
pooled_domain_balanced,190,286223,51172,271,43,lightgbm,0.8173446984184627,0.29488453508159107,0.06302198464991958,0.8553633687135658,0.1858829845870277,0.017992788201878857
men_international_size_matched,34,50438,51172,271,43,lightgbm,0.7499338904305746,0.24728011220444127,0.06904088591800274,0.6656066043100575,0.011901696866554203,0.02285100822668052
men_club_size_matched,34,56006,51172,271,43,lightgbm,0.7857036825564198,0.24754333066847206,0.06741572785755895,0.7472555528476466,0.021408451880534102,0.02212546911552134
women_only,95,135039,51172,271,44,lightgbm,0.8074313986363891,0.276257446942473,0.06481134040859357,0.8127982878544675,0.16759413088935027,0.018509657860303785
men_only_full,200,323156,51172,271,44,lightgbm,0.8175600239523374,0.27934485257209696,0.06378023057363642,0.835073939923637,0.14898121212596432,0.018867065975418706
men_only_size_matched,95,150878,51172,271,44,lightgbm,0.8101833165674264,0.27571972803698463,0.06440980601403148,0.8183293695147333,0.1650014532898309,0.018652852730382
pooled_full,295,455306,51172,271,44,lightgbm,0.827124138324141,0.2974466003182381,0.06237338210939238,0.8542287361441429,0.14352372777265815,0.01831172889234226
pooled_size_matched,190,289127,51172,271,44,lightgbm,0.8181188105454942,0.2873186074047656,0.06329448439947902,0.8322573036509151,0.17727184556320688,0.018269064360274537
pooled_domain_balanced,190,291521,51172,271,44,lightgbm,0.8226857366553042,0.2927190394719978,0.06268166126348715,0.8431173822549786,0.20410782674598865,0.01767507808287916
men_international_size_matched,34,50882,51172,271,44,lightgbm,0.7684295358523637,0.23299528913441303,0.06939896873602093,0.7651655139377946,0.06047825224417445,0.02058045350244788
men_club_size_matched,34,55471,51172,271,44,lightgbm,0.7828982887350484,0.24836976726061305,0.06698836552636189,0.7951940030085803,0.026529415237729476,0.022915464346245747
women_only,95,134810,51172,271,45,lightgbm,0.8073249086929556,0.28135969283936596,0.06415723483196768,0.8332617885085677,0.1593995643123911,0.01869026105245877
men_only_full,200,321733,51172,271,45,lightgbm,0.8205765746188597,0.2876791691413728,0.06292693546290422,0.8453981886889705,0.1454638049451626,0.019201372140489007
men_only_size_matched,95,154348,51172,271,45,lightgbm,0.8012216810219047,0.2755500090593217,0.0649041064409107,0.8297702665983153,0.15932829677118185,0.01879115037816796
pooled_full,295,454798,51172,271,45,lightgbm,0.8267018003266163,0.28827354551127793,0.06272157981786426,0.8520776852419891,0.18460105729505602,0.018238711371250535
pooled_size_matched,190,288939,51172,271,45,lightgbm,0.8204329310852556,0.29431423195157325,0.06272287937295615,0.8492780247577589,0.1711869005840956,0.01838229402490938
pooled_domain_balanced,190,286414,51172,271,45,lightgbm,0.8165863009110226,0.29226797826886497,0.06311883181393887,0.8622484235767369,0.17083417541437879,0.018332391383835318
men_international_size_matched,34,52788,51172,271,45,lightgbm,0.7855445310146186,0.25100402941980005,0.06660878239087756,0.722656850963222,0.04671823536845322,0.020579932572832006
men_club_size_matched,34,56648,51172,271,45,lightgbm,0.7875115808725005,0.25647265405495756,0.06749182964743712,0.5826946683138224,0.02570632252292559,0.021955339141920868
women_only,95,134873,51172,271,46,lightgbm,0.803216477574703,0.27265255400874894,0.06493289789875424,0.8190173651671386,0.13787427568264657,0.01934259071273294
men_only_full,200,322477,51172,271,46,lightgbm,0.8158890725299578,0.2862290961917702,0.06348254193625619,0.845755296530048,0.1552255273567785,0.018469012408479212
men_only_size_matched,95,150185,51172,271,46,lightgbm,0.7958899402978146,0.27094875905542276,0.06572780609415879,0.8125441552584325,0.14317454318770415,0.01900784964080508
pooled_full,295,455475,51172,271,46,lightgbm,0.8252147816597628,0.2902628551754601,0.06261927978985428,0.8472272038411223,0.184433708320744,0.01842645700734356
pooled_size_matched,190,284636,51172,271,46,lightgbm,0.815427940204718,0.28418428857913625,0.06341564589778348,0.8535359222811426,0.18469329629357226,0.01775834768752609
pooled_domain_balanced,190,281190,51172,271,46,lightgbm,0.8259448612525488,0.2879279183375906,0.06271211190256738,0.8451288731269906,0.15069087618892082,0.018500646691415334
men_international_size_matched,34,51656,51172,271,46,lightgbm,0.7881163931921789,0.25227158386114934,0.06769172602967302,0.8094160160681722,0.15097986117819726,0.01945752746635629
