variant,num_leaves,learning_rate,feature_fraction,n_train_matches,n_train_rows,n_eval_rows,n_features,seed,learner,score_auc,score_ap,score_logloss,concede_auc,concede_ap,concede_logloss
P-VAEP,63,0.03,0.8,295,459240,51172,254,42,lightgbm,0.8250999664924933,0.30071286315926155,0.0622671613406539,0.8629101431736881,0.18589626237907583,0.017628605123119666
P-VAEP,63,0.05,0.6,295,459240,51172,254,42,lightgbm,0.825116021413205,0.29591793541823624,0.062438240355499317,0.8583238229699788,0.17444426799420468,0.018016830451872648
P-VAEP,63,0.05,0.8,295,459240,51172,254,42,lightgbm,0.8222429319761152,0.28910470552749734,0.06282538066617492,0.8473530375736388,0.16287225924186935,0.018281980536072176
P-VAEP,63,0.1,0.6,295,459240,51172,254,42,lightgbm,0.8179684825255982,0.28570162461811605,0.06341861082002268,0.8341799937811467,0.1399092347028086,0.019588472039296347
P-VAEP,63,0.1,0.8,295,459240,51172,254,42,lightgbm,0.8211778380839977,0.2791842444009621,0.06354067572205593,0.8306655573577157,0.1306269167355584,0.019656829976518426
P-VAEP,127,0.03,0.6,295,459240,51172,254,42,lightgbm,0.8235408404489689,0.29263577530193496,0.06283707576478526,0.8578483888408002,0.18387582301347716,0.01780551562766606
P-VAEP,127,0.03,0.8,295,459240,51172,254,42,lightgbm,0.8215481343173384,0.29314245576252396,0.06285826172254726,0.8534965922365182,0.1949756272185934,0.017706003881794875
P-VAEP,127,0.05,0.6,295,459240,51172,254,42,lightgbm,0.8213462628313272,0.2900633240460299,0.0630257249274288,0.8358859764860118,0.16243295820699558,0.01843626182357077
P-VAEP,127,0.05,0.8,295,459240,51172,254,42,lightgbm,0.8202280090427732,0.2890772295827201,0.06306350636911229,0.8424052395238936,0.16864347619288522,0.018463007964736593
P-VAEP,127,0.1,0.6,295,459240,51172,254,42,lightgbm,0.8144113270686328,0.27674266519569185,0.06413248612952333,0.8123955190641466,0.14262827192898053,0.0199060511324796
P-VAEP,127,0.1,0.8,295,459240,51172,254,42,lightgbm,0.816973429896207,0.2772015697520868,0.06392454468517907,0.8198766874241901,0.14438665166170758,0.01982034276698231
PS-VAEP,31,0.03,0.6,295,459240,51172,271,42,lightgbm,0.8274847359755528,0.3065168258378213,0.06187807351023225,0.8617891248504814,0.18472593511893284,0.017392307479994634
